,avg_rouge1_precision,avg_rouge1_recall,avg_rouge1_f1,avg_rouge2_precision,avg_rouge2_recall,avg_rouge2_f1,avg_rougel_precision,avg_rougel_recall,avg_rougel_f1,avg_bert_precision,avg_bert_recall,avg_bert_f1
gpt_35_completion,0.485315239890573,0.479755060814704,0.450091540685241,0.238512446818507,0.231908215050818,0.218772744090224,0.334980000375214,0.328808078302666,0.308515171643213,0.673282474022487,0.6986845449127,0.680860855456056
mistral_7b_completion,0.288278067446535,0.543876323755277,0.360139865300861,0.113343001784973,0.212941625952572,0.14104941650503,0.184624434461825,0.350597246917407,0.230433863847474,0.687307561266011,0.586596056818962,0.631130495975757
qwen_7b_completion,0.29109416025794,0.638263444807471,0.37610766894092,0.123391610138943,0.269368585769322,0.159007743207509,0.188787483546369,0.417321984000676,0.244431912539195,0.742333075095867,0.605201087635139,0.663837720607889
westlake_7b_completion,0.35159041980702,0.549000920759706,0.402762726976748,0.158885454668563,0.241182440568665,0.178446801660191,0.237009095812297,0.366292869328964,0.26943974717322,0.704990276488765,0.616404849907448,0.654265917580703
westseverus_7b_completion,0.292591288487306,0.483528373211957,0.338236157208673,0.103745881931239,0.169717717025042,0.119716598425997,0.186535092269452,0.312050321332989,0.216194892823957,0.658327619063443,0.56571374371134,0.605321399096785
llama_7b_completions,0.317182037249286,0.560666489164249,0.37236135990996,0.138039854803826,0.256428151783727,0.165168424228138,0.214200576642075,0.390280546471191,0.25316751891459,0.698431989756124,0.62158435480348,0.653833043986353
prometheus_7b_completions,0.36190308160644,0.538793073918324,0.41089005140796,0.151942965988474,0.236132767779512,0.174833427575173,0.240255933954173,0.359282987949972,0.272456397683527,0.698780882975151,0.626921680466882,0.658359102134047
llama_31_8b_completions,0.399416656246938,0.272353839559164,0.293552617618607,0.151243051693182,0.100016440033397,0.111530382504073,0.279309485477827,0.182760072525424,0.198154049909409,0.502758228573306,0.59674095953333,0.537418259115055
mistral_nemo_minitron_8b_completions,0.354286827458598,0.349579083718019,0.299214549304733,0.145543463482963,0.163530329022874,0.133422292706379,0.256087767239866,0.247236276402625,0.211323249755813,0.536861640112153,0.612718483497357,0.555525200120334
gpt_4o_completions,0.498837793307744,0.449674326415539,0.435150613468262,0.24051603659148,0.221366173926453,0.212396768132644,0.35781993821494,0.316386541006147,0.308639555878601,0.657786581022986,0.679576380499478,0.663689547571643
